province,city,unit_code,unit_name,level,status,source_url,verification
上海,市辖区,3101,市辖区,city,missing,,
江苏,南京市,3201,南京市,city,missing,,
江苏,无锡市,3202,无锡市,city,covered,https://www.wuxi.gov.cn/,search+sitecode
江苏,徐州市,3203,徐州市,city,missing,,
江苏,常州市,3204,常州市,city,covered,https://www.changzhou.gov.cn/,search+sitecode
江苏,苏州市,3205,苏州市,city,covered,https://www.suzhou.gov.cn/,search+sitecode
江苏,南通市,3206,南通市,city,missing,,
江苏,连云港市,3207,连云港市,city,covered,https://www.lyg.gov.cn/,search+strict-name
江苏,淮安市,3208,淮安市,city,covered,http://www.huaian.gov.cn/,search+strict-name
江苏,盐城市,3209,盐城市,city,covered,https://www.yancheng.gov.cn/,search+strict-name
江苏,扬州市,3210,扬州市,city,missing,,
江苏,镇江市,3211,镇江市,city,missing,,
江苏,泰州市,3212,泰州市,city,covered,https://www.taizhou.gov.cn/,search+strict-name
江苏,宿迁市,3213,宿迁市,city,missing,,
浙江,杭州市,3301,杭州市,city,missing,,
浙江,宁波市,3302,宁波市,city,missing,,
浙江,温州市,3303,温州市,city,missing,,
浙江,嘉兴市,3304,嘉兴市,city,missing,,
浙江,湖州市,3305,湖州市,city,missing,,
浙江,绍兴市,3306,绍兴市,city,missing,,
浙江,金华市,3307,金华市,city,missing,,
浙江,衢州市,3308,衢州市,city,missing,,
浙江,舟山市,3309,舟山市,city,missing,,
浙江,台州市,3310,台州市,city,missing,,
浙江,丽水市,3311,丽水市,city,missing,,
安徽,合肥市,3401,合肥市,city,missing,,
安徽,芜湖市,3402,芜湖市,city,missing,,
安徽,蚌埠市,3403,蚌埠市,city,missing,,
安徽,淮南市,3404,淮南市,city,missing,,
安徽,马鞍山市,3405,马鞍山市,city,missing,,
安徽,淮北市,3406,淮北市,city,covered,https://www.huaibei.gov.cn/,search+sitecode
安徽,铜陵市,3407,铜陵市,city,covered,https://www.tl.gov.cn/,search+sitecode
安徽,安庆市,3408,安庆市,city,missing,,
安徽,黄山市,3410,黄山市,city,missing,,
安徽,滁州市,3411,滁州市,city,missing,,
安徽,阜阳市,3412,阜阳市,city,missing,,
安徽,宿州市,3413,宿州市,city,missing,,
安徽,六安市,3415,六安市,city,covered,https://www.luan.gov.cn/,search+sitecode
安徽,亳州市,3416,亳州市,city,missing,,
安徽,池州市,3417,池州市,city,missing,,
安徽,宣城市,3418,宣城市,city,covered,https://www.xuancheng.gov.cn/,search+sitecode
上海,市辖区,310101,黄浦区,county,missing,,
上海,市辖区,310104,徐汇区,county,missing,,
上海,市辖区,310105,长宁区,county,missing,,
上海,市辖区,310106,静安区,county,missing,,
上海,市辖区,310107,普陀区,county,missing,,
上海,市辖区,310109,虹口区,county,missing,,
上海,市辖区,310110,杨浦区,county,covered,https://www.shanghai.gov.cn/,search+strict-name
上海,市辖区,310112,闵行区,county,covered,https://www.shanghai.gov.cn/,search+strict-name
上海,市辖区,310113,宝山区,county,covered,https://www.shanghai.gov.cn/,search+strict-name
上海,市辖区,310114,嘉定区,county,missing,,
上海,市辖区,310115,浦东新区,functional,covered,https://www.shanghai.gov.cn/,search+strict-name
上海,市辖区,310116,金山区,county,missing,,
上海,市辖区,310117,松江区,county,covered,https://www.songjiang.gov.cn/,search+sitecode
上海,市辖区,310118,青浦区,county,covered,https://www.shanghai.gov.cn/,search+strict-name
上海,市辖区,310120,奉贤区,county,covered,https://www.fengxian.gov.cn/,search+strict-name
上海,市辖区,310151,崇明区,county,missing,,
江苏,南京市,320102,玄武区,county,covered,https://www.xwzf.gov.cn/,search+sitecode
江苏,南京市,320104,秦淮区,county,missing,,
江苏,南京市,320105,建邺区,county,missing,,
江苏,南京市,320106,鼓楼区,county,missing,,
江苏,南京市,320111,浦口区,county,missing,,
江苏,南京市,320113,栖霞区,county,missing,,
江苏,南京市,320114,雨花台区,county,missing,,
江苏,南京市,320115,江宁区,county,missing,,
江苏,南京市,320116,六合区,county,missing,,
江苏,南京市,320117,溧水区,county,missing,,
江苏,南京市,320118,高淳区,county,missing,,
江苏,无锡市,320205,锡山区,county,missing,,
江苏,无锡市,320206,惠山区,county,missing,,
江苏,无锡市,320211,滨湖区,county,missing,,
江苏,无锡市,320213,梁溪区,county,missing,,
江苏,无锡市,320214,新吴区,county,missing,,
江苏,无锡市,320281,江阴市,county,covered,https://www.jiangyin.gov.cn/,search+sitecode
江苏,无锡市,320282,宜兴市,county,covered,https://www.yixing.gov.cn/,search+sitecode
江苏,徐州市,320302,鼓楼区,county,missing,,
江苏,徐州市,320303,云龙区,county,missing,,
江苏,徐州市,320305,贾汪区,county,missing,,
江苏,徐州市,320311,泉山区,county,missing,,
江苏,徐州市,320312,铜山区,county,missing,,
江苏,徐州市,320321,丰县,county,missing,,
江苏,徐州市,320322,沛县,county,missing,,
江苏,徐州市,320324,睢宁县,county,missing,,
江苏,徐州市,320371,徐州经济技术开发区,functional,missing,,
江苏,徐州市,320381,新沂市,county,missing,,
江苏,徐州市,320382,邳州市,county,missing,,
江苏,常州市,320402,天宁区,county,missing,,
江苏,常州市,320404,钟楼区,county,missing,,
江苏,常州市,320411,新北区,county,missing,,
江苏,常州市,320412,武进区,county,missing,,
江苏,常州市,320413,金坛区,county,missing,,
江苏,常州市,320481,溧阳市,county,covered,https://www.liyang.gov.cn/,search+sitecode
江苏,苏州市,320505,虎丘区,county,missing,,
江苏,苏州市,320506,吴中区,county,covered,http://www.szwz.gov.cn/,search+sitecode
江苏,苏州市,320507,相城区,county,missing,,
江苏,苏州市,320508,姑苏区,county,covered,https://www.gusu.gov.cn/,search+sitecode
江苏,苏州市,320509,吴江区,county,missing,,
江苏,苏州市,320576,苏州工业园区,functional,missing,,
江苏,苏州市,320581,常熟市,county,covered,https://www.changshu.gov.cn/,search+sitecode
江苏,苏州市,320582,张家港市,county,covered,https://www.zjg.gov.cn/,search+sitecode
江苏,苏州市,320583,昆山市,county,covered,https://www.ks.gov.cn/,search+sitecode
江苏,苏州市,320585,太仓市,county,missing,,
江苏,南通市,320612,通州区,county,covered,https://www.bjtzh.gov.cn/,search+strict-name
江苏,南通市,320613,崇川区,county,missing,,
江苏,南通市,320614,海门区,county,missing,,
江苏,南通市,320623,如东县,county,missing,,
江苏,南通市,320671,南通经济技术开发区,functional,missing,,
江苏,南通市,320681,启东市,county,missing,,
江苏,南通市,320682,如皋市,county,missing,,
江苏,南通市,320685,海安市,county,missing,,
江苏,连云港市,320703,连云区,county,missing,,
江苏,连云港市,320706,海州区,county,covered,http://www.lyghz.gov.cn/,search+strict-name
江苏,连云港市,320707,赣榆区,county,missing,,
江苏,连云港市,320722,东海县,county,missing,,
江苏,连云港市,320723,灌云县,county,missing,,
江苏,连云港市,320724,灌南县,county,missing,,
江苏,连云港市,320771,连云港经济技术开发区,functional,missing,,
江苏,淮安市,320803,淮安区,county,covered,http://www.huaian.gov.cn/,search+strict-name
江苏,淮安市,320804,淮阴区,county,missing,,
江苏,淮安市,320812,清江浦区,county,missing,,
江苏,淮安市,320813,洪泽区,county,missing,,
江苏,淮安市,320826,涟水县,county,missing,,
江苏,淮安市,320830,盱眙县,county,missing,,
江苏,淮安市,320831,金湖县,county,missing,,
江苏,淮安市,320871,淮安经济技术开发区,functional,missing,,
江苏,盐城市,320902,亭湖区,county,missing,,
江苏,盐城市,320903,盐都区,county,missing,,
江苏,盐城市,320904,大丰区,county,missing,,
江苏,盐城市,320921,响水县,county,missing,,
江苏,盐城市,320922,滨海县,county,missing,,
江苏,盐城市,320923,阜宁县,county,missing,,
江苏,盐城市,320924,射阳县,county,missing,,
江苏,盐城市,320925,建湖县,county,missing,,
江苏,盐城市,320971,盐城经济技术开发区,functional,missing,,
江苏,盐城市,320981,东台市,county,missing,,
江苏,扬州市,321002,广陵区,county,missing,,
江苏,扬州市,321003,邗江区,county,missing,,
江苏,扬州市,321012,江都区,county,missing,,
江苏,扬州市,321023,宝应县,county,missing,,
江苏,扬州市,321071,扬州经济技术开发区,functional,missing,,
江苏,扬州市,321081,仪征市,county,missing,,
江苏,扬州市,321084,高邮市,county,missing,,
江苏,镇江市,321102,京口区,county,missing,,
江苏,镇江市,321111,润州区,county,missing,,
江苏,镇江市,321112,丹徒区,county,missing,,
江苏,镇江市,321171,镇江新区,functional,missing,,
江苏,镇江市,321181,丹阳市,county,missing,,
江苏,镇江市,321182,扬中市,county,missing,,
江苏,镇江市,321183,句容市,county,missing,,
江苏,泰州市,321202,海陵区,county,missing,,
江苏,泰州市,321203,高港区,county,missing,,
江苏,泰州市,321204,姜堰区,county,missing,,
江苏,泰州市,321281,兴化市,county,covered,https://www.xinghua.gov.cn/,search+strict-name
江苏,泰州市,321282,靖江市,county,missing,,
江苏,泰州市,321283,泰兴市,county,covered,https://www.taixing.gov.cn/,search+strict-name
江苏,宿迁市,321302,宿城区,county,missing,,
江苏,宿迁市,321311,宿豫区,county,missing,,
江苏,宿迁市,321322,沭阳县,county,missing,,
江苏,宿迁市,321323,泗阳县,county,missing,,
江苏,宿迁市,321324,泗洪县,county,missing,,
江苏,宿迁市,321371,宿迁经济技术开发区,functional,missing,,
浙江,杭州市,330102,上城区,county,missing,,
浙江,杭州市,330105,拱墅区,county,missing,,
浙江,杭州市,330106,西湖区,county,missing,,
浙江,杭州市,330108,滨江区,county,missing,,
浙江,杭州市,330109,萧山区,county,missing,,
浙江,杭州市,330110,余杭区,county,missing,,
浙江,杭州市,330111,富阳区,county,missing,,
浙江,杭州市,330112,临安区,county,missing,,
浙江,杭州市,330113,临平区,county,missing,,
浙江,杭州市,330114,钱塘区,county,missing,,
浙江,杭州市,330122,桐庐县,county,missing,,
浙江,杭州市,330127,淳安县,county,missing,,
浙江,杭州市,330182,建德市,county,missing,,
浙江,宁波市,330203,海曙区,county,missing,,
浙江,宁波市,330205,江北区,county,missing,,
浙江,宁波市,330206,北仑区,county,missing,,
浙江,宁波市,330211,镇海区,county,missing,,
浙江,宁波市,330212,鄞州区,county,missing,,
浙江,宁波市,330213,奉化区,county,missing,,
浙江,宁波市,330225,象山县,county,missing,,
浙江,宁波市,330226,宁海县,county,missing,,
浙江,宁波市,330281,余姚市,county,missing,,
浙江,宁波市,330282,慈溪市,county,missing,,
浙江,温州市,330302,鹿城区,county,missing,,
浙江,温州市,330303,龙湾区,county,missing,,
浙江,温州市,330304,瓯海区,county,missing,,
浙江,温州市,330305,洞头区,county,missing,,
浙江,温州市,330324,永嘉县,county,missing,,
浙江,温州市,330326,平阳县,county,missing,,
浙江,温州市,330327,苍南县,county,missing,,
浙江,温州市,330328,文成县,county,missing,,
浙江,温州市,330329,泰顺县,county,missing,,
浙江,温州市,330381,瑞安市,county,missing,,
浙江,温州市,330382,乐清市,county,missing,,
浙江,温州市,330383,龙港市,county,missing,,
浙江,嘉兴市,330402,南湖区,county,missing,,
浙江,嘉兴市,330411,秀洲区,county,missing,,
浙江,嘉兴市,330421,嘉善县,county,missing,,
浙江,嘉兴市,330424,海盐县,county,missing,,
浙江,嘉兴市,330481,海宁市,county,missing,,
浙江,嘉兴市,330482,平湖市,county,missing,,
浙江,嘉兴市,330483,桐乡市,county,missing,,
浙江,湖州市,330502,吴兴区,county,missing,,
浙江,湖州市,330503,南浔区,county,missing,,
浙江,湖州市,330521,德清县,county,missing,,
浙江,湖州市,330522,长兴县,county,missing,,
浙江,湖州市,330523,安吉县,county,missing,,
浙江,绍兴市,330602,越城区,county,missing,,
浙江,绍兴市,330603,柯桥区,county,missing,,
浙江,绍兴市,330604,上虞区,county,missing,,
浙江,绍兴市,330624,新昌县,county,missing,,
浙江,绍兴市,330681,诸暨市,county,missing,,
浙江,绍兴市,330683,嵊州市,county,missing,,
浙江,金华市,330702,婺城区,county,missing,,
浙江,金华市,330703,金东区,county,missing,,
浙江,金华市,330723,武义县,county,missing,,
浙江,金华市,330726,浦江县,county,missing,,
浙江,金华市,330727,磐安县,county,missing,,
浙江,金华市,330781,兰溪市,county,missing,,
浙江,金华市,330782,义乌市,county,covered,https://www.yw.gov.cn/,search+strict-name
浙江,金华市,330783,东阳市,county,missing,,
浙江,金华市,330784,永康市,county,missing,,
浙江,衢州市,330802,柯城区,county,missing,,
浙江,衢州市,330803,衢江区,county,missing,,
浙江,衢州市,330822,常山县,county,missing,,
浙江,衢州市,330824,开化县,county,missing,,
浙江,衢州市,330825,龙游县,county,missing,,
浙江,衢州市,330881,江山市,county,missing,,
