source_id,company_name,org_type,source_type,adapter,endpoint,priority,fetch_method,requires_login,city_scope,poll_interval_minutes,status,notes
soe-company-8c6af100cb50,东风汽车集团有限公司,soe,official,regional_notice,http://www.dfmc.com.cn/||||东风汽车集团有限公司||company,2,html,no,全国,720,active,V2.3国企主体库自动生成；央企集团；
soe-company-b98b8406b5f0,中国一重集团有限公司,soe,official,regional_notice,http://www.cfhi.com/||||中国一重集团有限公司||company,2,html,no,全国,720,active,V2.3国企主体库自动生成；央企集团；
soe-company-97b270847056,中国东方电气集团有限公司,soe,official,regional_notice,http://www.dongfang.com/||||中国东方电气集团有限公司||company,2,html,no,全国,720,active,V2.3国企主体库自动生成；央企集团；
soe-company-cfe9dfc41caa,中国东方航空集团有限公司,soe,official,regional_notice,http://www.ceairgroup.com/||||中国东方航空集团有限公司||company,2,html,no,全国,720,active,V2.3国企主体库自动生成；央企集团；
soe-company-e09e3b259670,中国中煤能源集团有限公司,soe,official,regional_notice,http://www.chinacoal.com/||||中国中煤能源集团有限公司||company,2,html,no,全国,720,active,V2.3国企主体库自动生成；央企集团；
soe-company-7c2426dd52ba,中国中车集团有限公司,soe,official,regional_notice,http://www.crrcgc.cc/||||中国中车集团有限公司||company,2,html,no,全国,720,active,V2.3国企主体库自动生成；央企集团；
soe-company-7c9b52b8e3d0,中国五矿集团有限公司,soe,official,regional_notice,http://www.minmetals.com.cn/||||中国五矿集团有限公司||company,2,html,no,全国,720,active,V2.3国企主体库自动生成；央企集团；
soe-company-e7e9f9854ab6,中国交通建设集团有限公司,soe,official,regional_notice,http://www.ccccltd.cn/||||中国交通建设集团有限公司||company,2,html,no,全国,720,active,V2.3国企主体库自动生成；央企集团；
soe-company-c4f8732068be,中国保利集团有限公司,soe,official,regional_notice,http://www.poly.com.cn/||||中国保利集团有限公司||company,2,html,no,全国,720,active,V2.3国企主体库自动生成；央企集团；
soe-company-c2e072145d82,中国信息通信科技集团有限公司,soe,official,regional_notice,http://www.cict.com/||||中国信息通信科技集团有限公司||company,2,html,no,全国,720,active,V2.3国企主体库自动生成；央企集团；
soe-company-edd6b351d599,中国储备粮管理集团有限公司,soe,official,regional_notice,https://www.sinograin.com.cn/||||中国储备粮管理集团有限公司||company,2,html,no,全国,720,active,V2.3国企主体库自动生成；央企集团；
soe-company-6c98078715e6,中国兵器工业集团有限公司,soe,official,regional_notice,http://www.norincogroup.com.cn/||||中国兵器工业集团有限公司||company,2,html,no,全国,720,active,V2.3国企主体库自动生成；央企集团；
soe-company-db865e8e1af7,中国兵器装备集团有限公司,soe,official,regional_notice,https://www.csgc.com.cn/||||中国兵器装备集团有限公司||company,2,html,no,全国,720,active,V2.3国企主体库自动生成；央企集团；
soe-company-3129e9a0d384,中国农业发展集团有限公司,soe,official,regional_notice,http://www.cnadc.com.cn/||||中国农业发展集团有限公司||company,2,html,no,全国,720,active,V2.3国企主体库自动生成；央企集团；
soe-company-3da5790ce603,中国化学工程集团有限公司,soe,official,regional_notice,http://www.cncec.cn/||||中国化学工程集团有限公司||company,2,html,no,全国,720,active,V2.3国企主体库自动生成；央企集团；
soe-company-a36b933cc2db,中国医药集团有限公司,soe,official,regional_notice,http://www.sinopharm.com/||||中国医药集团有限公司||company,2,html,no,全国,720,active,V2.3国企主体库自动生成；央企集团；
soe-company-ce5f6836327c,中国华电集团有限公司,soe,official,regional_notice,http://www.chd.com.cn/||||中国华电集团有限公司||company,2,html,no,全国,720,active,V2.3国企主体库自动生成；央企集团；
soe-company-fa38af145ff9,中国华能集团有限公司,soe,official,regional_notice,http://www.chng.com.cn/||||中国华能集团有限公司||company,2,html,no,全国,720,active,V2.3国企主体库自动生成；央企集团；
soe-company-53cc17c710c3,中国南方电网有限责任公司,soe,official,regional_notice,http://www.csg.cn/||||中国南方电网有限责任公司||company,2,html,no,全国,720,active,V2.3国企主体库自动生成；央企集团；
soe-company-ebfa61d88635,中国南方航空集团有限公司,soe,official,regional_notice,https://www.csairgroup.cn/cn/||||中国南方航空集团有限公司||company,2,html,no,全国,720,active,V2.3国企主体库自动生成；央企集团；
soe-company-16436c6a76cd,中国南水北调集团有限公司,soe,official,regional_notice,http://www.csnwd.com.cn/||||中国南水北调集团有限公司||company,2,html,no,全国,720,active,V2.3国企主体库自动生成；央企集团；
soe-company-593cb15ac802,中国商用飞机有限责任公司,soe,official,regional_notice,http://www.comac.cc/||||中国商用飞机有限责任公司||company,2,html,no,全国,720,active,V2.3国企主体库自动生成；央企集团；
soe-company-d626e26d7d50,中国国新控股有限责任公司,soe,official,regional_notice,http://www.crhc.cn/||||中国国新控股有限责任公司||company,2,html,no,全国,720,active,V2.3国企主体库自动生成；央企集团；
soe-company-051b572b8293,中国国际工程咨询有限公司,soe,official,regional_notice,http://www.ciecc.com.cn/||||中国国际工程咨询有限公司||company,2,html,no,全国,720,active,V2.3国企主体库自动生成；央企集团；
soe-company-56c9c8a33825,中国国际技术智力合作集团有限公司,soe,official,regional_notice,http://www.ciic.com.cn/||||中国国际技术智力合作集团有限公司||company,2,html,no,全国,720,active,V2.3国企主体库自动生成；央企集团；
soe-company-319f986e302a,中国大唐集团有限公司,soe,official,regional_notice,http://www.china-cdt.com/||||中国大唐集团有限公司||company,2,html,no,全国,720,active,V2.3国企主体库自动生成；央企集团；
