source_id,company_name,org_type,source_type,adapter,endpoint,priority,fetch_method,requires_login,city_scope,poll_interval_minutes,status,notes,verification,unit_code
auto-gov-0558706808,常州市人民政府,public_institution,official,regional_notice,https://www.changzhou.gov.cn/ns_news/18178583072315||江苏·常州市·常州市||常州市人民政府||government,2,html,no,江苏·常州市·常州市,1440,active,V2.1严格校验的市/区/县政府官方源,search+sitecode,3204
auto-gov-c92a8863a6,无锡市人民政府,public_institution,official,regional_notice,https://www.wuxi.gov.cn/doc/2026/08/11/4816688.shtml||江苏·无锡市·无锡市||无锡市人民政府||government,2,html,no,江苏·无锡市·无锡市,1440,active,V2.1严格校验的市/区/县政府官方源,search+sitecode,3202
auto-gov-f3e4808073,泰州市人民政府,public_institution,official,regional_notice,https://www.taizhou.gov.cn/xwzx/tzgg/index.html||江苏·泰州市·泰州市||泰州市人民政府||government,2,html,no,江苏·泰州市·泰州市,1440,active,V2.1严格校验的市/区/县政府官方源,search+strict-name,3212
auto-gov-60ba8daff1,吴中区人民政府,public_institution,official,regional_notice,http://www.szwz.gov.cn/szwz/bmdt/202607/1fbb9407555d42fa98b1edcfebfd0f63.shtml||江苏·苏州市·吴中区||吴中区人民政府||government,2,html,no,江苏·苏州市·吴中区,1440,active,V2.1严格校验的市/区/县政府官方源,search+sitecode,320506
auto-gov-8db361269b,张家港市人民政府,public_institution,official,regional_notice,https://www.zjg.gov.cn/zjg/tzgg/common_list.shtml||江苏·苏州市·张家港市||张家港市人民政府||government,2,html,no,江苏·苏州市·张家港市,1440,active,V2.1严格校验的市/区/县政府官方源,search+sitecode,320582
auto-gov-519f3837e3,苏州市人民政府,public_institution,official,regional_notice,https://www.suzhou.gov.cn/szsrmzf/szyw/202608/69c2387ebef244cbbe668db6ec271c7a.shtml||江苏·苏州市·苏州市||苏州市人民政府||government,2,html,no,江苏·苏州市·苏州市,1440,active,V2.1严格校验的市/区/县政府官方源,search+sitecode,3205
auto-gov-99796e2338,海州区人民政府,public_institution,official,regional_notice,http://www.lyghz.gov.cn/lyghzqrmzf/tzggg/tzggg.html||江苏·连云港市·海州区||海州区人民政府||government,2,html,no,江苏·连云港市·海州区,1440,active,V2.1严格校验的市/区/县政府官方源,search+strict-name,320706
auto-gov-3539806151,义乌市人民政府,public_institution,official,regional_notice,https://www.yw.gov.cn/col/col1229116558/index.html||浙江·金华市·义乌市||义乌市人民政府||government,2,html,no,浙江·金华市·义乌市,1440,active,V2.1严格校验的市/区/县政府官方源,search+strict-name,330782
auto-hrss-daebf5d697,常州市·市人社局,public_institution,official,regional_notice,https://cz.jszwfw.gov.cn/jszwfw/bscx/itemlist/gr_index.do?webId=5&themid=&deptid=11320400014110315K||江苏·常州市·常州市||市人社局||government,2,html,no,江苏·常州市·常州市,720,active,从严格验证政府门户发现的人社官方站点,linked-from-verified-government,3204
auto-hrss-f62beae81a,常州市·市人社局,public_institution,official,regional_notice,https://rsj.changzhou.gov.cn/||江苏·常州市·常州市||市人社局||government,2,html,no,江苏·常州市·常州市,720,active,从严格验证政府门户发现的人社官方站点,linked-from-verified-government,3204
auto-sasac-60ba8daff1,吴中区·区国资办举办“百团进百万企业千万员工”宣讲暨安全生产重大隐患判定专题培训,public_institution,official,regional_notice,http://www.szwz.gov.cn/szwz/c108682/202607/d9d61c336cd8480a9199a5dcf62866cb.shtml||江苏·苏州市·吴中区||区国资办举办“百团进百万企业千万员工”宣讲暨安全生产重大隐患判定专题培训||government,1,html,no,江苏·苏州市·吴中区,720,active,从严格验证政府门户发现的国资官方站点,linked-from-verified-government,320506
auto-sasac-3539806151,义乌市·国资办,public_institution,official,regional_notice,https://www.yw.gov.cn/col/col1229129407/index.html||浙江·金华市·义乌市||国资办||government,1,html,no,浙江·金华市·义乌市,720,active,从严格验证政府门户发现的国资官方站点,linked-from-verified-government,330782
auto-hrss-1802340230,无锡市·市人力资源和社会保障局,public_institution,official,regional_notice,http://hrss.wuxi.gov.cn||江苏·无锡市·无锡市||市人力资源和社会保障局||government,2,html,no,江苏·无锡市·无锡市,720,active,从严格验证政府门户发现的人社官方站点,linked-from-verified-government,3202
auto-sasac-bd4beb8814,无锡市·市政府国有资产监督管理委员会,public_institution,official,regional_notice,http://gzw.wuxi.gov.cn||江苏·无锡市·无锡市||市政府国有资产监督管理委员会||government,1,html,no,江苏·无锡市·无锡市,720,active,从严格验证政府门户发现的国资官方站点,linked-from-verified-government,3202
auto-hrss-d8397e4215,苏州市·苏州市人力资源和社会保障局,public_institution,official,regional_notice,http://hrss.suzhou.gov.cn||江苏·苏州市·苏州市||苏州市人力资源和社会保障局||government,2,html,no,江苏·苏州市·苏州市,720,active,从严格验证政府门户发现的人社官方站点,linked-from-verified-government,3205
auto-sasac-cf813c093c,苏州市·苏州市人民政府国有资产监督管理委员会,public_institution,official,regional_notice,http://guozw.suzhou.gov.cn/||江苏·苏州市·苏州市||苏州市人民政府国有资产监督管理委员会||government,1,html,no,江苏·苏州市·苏州市,720,active,从严格验证政府门户发现的国资官方站点,linked-from-verified-government,3205
