source_id,company_name,org_type,source_type,adapter,endpoint,priority,fetch_method,requires_login,city_scope,poll_interval_minutes,status,notes,verification,unit_code
auto-edu-dca9d563dc,浙江工业大学就业网,research,public_notice,regional_notice,https://www.zjut.edu.cn/4498/list.htm||浙江·杭州||浙江工业大学就业网||career,2,html,no,浙江·杭州,720,active,V2.1高校就业网补漏,discovered-from-university-homepage,
auto-edu-41bf68a365,浙江理工大学就业网,research,public_notice,regional_notice,https://www.zstu.edu.cn/kxyj/dfyjy.htm||浙江·杭州||浙江理工大学就业网||career,2,html,no,浙江·杭州,720,active,V2.1高校就业网补漏,discovered-from-university-homepage,
auto-edu-35ede7ded0,宁波大学就业网,research,public_notice,regional_notice,https://www.nbu.edu.cn/ztjj/xxgcxjpxsdzgtsshzysxztjygw.htm||浙江·宁波||宁波大学就业网||career,2,html,no,浙江·宁波,720,active,V2.1高校就业网补漏,discovered-from-university-homepage,
auto-edu-64cdab6b9f,浙江财经大学就业网,research,public_notice,regional_notice,http://zccareer.zufe.edu.cn/||浙江·杭州||浙江财经大学就业网||career,2,html,no,浙江·杭州,720,active,V2.1高校就业网补漏,discovered-from-university-homepage,
auto-edu-0c70ec8c8f,浙江师范大学就业网,research,public_notice,regional_notice,http://career.zjnu.edu.cn/||浙江·金华||浙江师范大学就业网||career,2,html,no,浙江·金华,720,active,V2.1高校就业网补漏,discovered-from-university-homepage,
auto-edu-1bdfa82e2d,杭州师范大学就业网,research,public_notice,regional_notice,http://career.hznu.edu.cn/||浙江·杭州||杭州师范大学就业网||career,2,html,no,浙江·杭州,720,active,V2.1高校就业网补漏,discovered-from-university-homepage,
auto-edu-93d5f4363b,温州大学就业网,research,public_notice,regional_notice,https://job.wzu.edu.cn/||浙江·温州||温州大学就业网||career,2,html,no,浙江·温州,720,active,V2.1高校就业网补漏,discovered-from-university-homepage,
auto-edu-dc83729230,浙江农林大学就业网,research,public_notice,regional_notice,http://jy.zafu.edu.cn/||浙江·杭州||浙江农林大学就业网||career,2,html,no,浙江·杭州,720,active,V2.1高校就业网补漏,discovered-from-university-homepage,
auto-edu-a6b99f30bc,南京航空航天大学就业网,research,public_notice,regional_notice,https://nuaa.91job.org.cn/||江苏·南京||南京航空航天大学就业网||career,2,html,no,江苏·南京,720,active,V2.1高校就业网补漏,discovered-from-university-homepage,
auto-edu-7d5c71b631,河海大学就业网,research,public_notice,regional_notice,http://hhu.91job.org.cn||江苏·南京||河海大学就业网||career,2,html,no,江苏·南京,720,active,V2.1高校就业网补漏,discovered-from-university-homepage,
auto-edu-7ec6b1de75,苏州大学就业网,research,public_notice,regional_notice,https://www.suda.edu.cn/enroll_job/jyzd.jsp||江苏·苏州||苏州大学就业网||career,2,html,no,江苏·苏州,720,active,V2.1高校就业网补漏,discovered-from-university-homepage,
auto-edu-08d4ce59e7,南京邮电大学就业网,research,public_notice,regional_notice,http://njupt.91job.org.cn/||江苏·南京||南京邮电大学就业网||career,2,html,no,江苏·南京,720,active,V2.1高校就业网补漏,discovered-from-university-homepage,
auto-edu-7696c762e1,南京工业大学就业网,research,public_notice,regional_notice,http://njtech.91job.org.cn/||江苏·南京||南京工业大学就业网||career,2,html,no,江苏·南京,720,active,V2.1高校就业网补漏,discovered-from-university-homepage,
auto-edu-bb381bb457,江南大学就业网,research,public_notice,regional_notice,http://jiangnan.91job.org.cn||江苏·无锡||江南大学就业网||career,2,html,no,江苏·无锡,720,active,V2.1高校就业网补漏,discovered-from-university-homepage,
auto-edu-5775f995a3,中国矿业大学就业网,research,public_notice,regional_notice,http://www.91job.org.cn/sub-station/home/10290||江苏·徐州||中国矿业大学就业网||career,2,html,no,江苏·徐州,720,active,V2.1高校就业网补漏,discovered-from-university-homepage,
auto-edu-31d2b66ead,江苏大学就业网,research,public_notice,regional_notice,https://ujs.91job.org.cn/sub-station/home/10299||江苏·镇江||江苏大学就业网||career,2,html,no,江苏·镇江,720,active,V2.1高校就业网补漏,discovered-from-university-homepage,
auto-edu-d4df7537d2,南京信息工程大学就业网,research,public_notice,regional_notice,http://nuist.91job.org.cn/||江苏·南京||南京信息工程大学就业网||career,2,html,no,江苏·南京,720,active,V2.1高校就业网补漏,discovered-from-university-homepage,
auto-edu-49df68f54a,东华大学就业网,research,public_notice,regional_notice,http://ejob.dhu.edu.cn/||上海||东华大学就业网||career,2,html,no,上海,720,active,V2.1高校就业网补漏,discovered-from-university-homepage,
auto-edu-0ad4885831,上海理工大学就业网,research,public_notice,regional_notice,https://www.usst.edu.cn/sljy/list.htm||上海||上海理工大学就业网||career,2,html,no,上海,720,active,V2.1高校就业网补漏,discovered-from-university-homepage,
auto-edu-40dffc5e09,上海财经大学就业网,research,public_notice,regional_notice,https://career.sufe.edu.cn/||上海||上海财经大学就业网||career,2,html,no,上海,720,active,V2.1高校就业网补漏,discovered-from-university-homepage,
auto-edu-3204305aee,上海海事大学就业网,research,public_notice,regional_notice,https://job.shmtu.edu.cn/||上海||上海海事大学就业网||career,2,html,no,上海,720,active,V2.1高校就业网补漏,discovered-from-university-homepage,
auto-edu-fb50dafe38,上海电力大学就业网,research,public_notice,regional_notice,https://career.shiep.edu.cn/||上海||上海电力大学就业网||career,2,html,no,上海,720,active,V2.1高校就业网补漏,discovered-from-university-homepage,
auto-edu-a7c05b1517,安徽工业大学就业网,research,public_notice,regional_notice,https://www.ahut.edu.cn/info/1002/28735.htm||安徽·马鞍山||安徽工业大学就业网||career,2,html,no,安徽·马鞍山,720,active,V2.1高校就业网补漏,discovered-from-university-homepage,
auto-edu-5c45ff5e44,安徽理工大学就业网,research,public_notice,regional_notice,https://ztjy.aust.edu.cn/||安徽·淮南||安徽理工大学就业网||career,2,html,no,安徽·淮南,720,active,V2.1高校就业网补漏,discovered-from-university-homepage,
auto-edu-8fe89cb27c,安徽师范大学就业网,research,public_notice,regional_notice,http://career.ahnu.edu.cn/||安徽·芜湖||安徽师范大学就业网||career,2,html,no,安徽·芜湖,720,active,V2.1高校就业网补漏,discovered-from-university-homepage,
auto-edu-2b5d1aa5f5,安徽财经大学就业网,research,public_notice,regional_notice,http://jyfw.aufe.edu.cn/||安徽·蚌埠||安徽财经大学就业网||career,2,html,no,安徽·蚌埠,720,active,V2.1高校就业网补漏,discovered-from-university-homepage,
auto-edu-28673cc7a4,安徽农业大学就业网,research,public_notice,regional_notice,http://job.ahau.edu.cn/||安徽·合肥||安徽农业大学就业网||career,2,html,no,安徽·合肥,720,active,V2.1高校就业网补漏,discovered-from-university-homepage,
auto-edu-1338d9bc5f,合肥大学就业网,research,public_notice,regional_notice,http://job.hfuu.edu.cn/index||安徽·合肥||合肥大学就业网||career,2,html,no,安徽·合肥,720,active,V2.1高校就业网补漏,discovered-from-university-homepage,
auto-edu-35478d3e6a,安徽建筑大学就业网,research,public_notice,regional_notice,https://www.ahjzu.edu.cn/14669/list.htm||安徽·合肥||安徽建筑大学就业网||career,2,html,no,安徽·合肥,720,active,V2.1高校就业网补漏,discovered-from-university-homepage,
auto-edu-c8dc90c783,合肥师范学院就业网,research,public_notice,regional_notice,https://www.hfnu.edu.cn/jgsz1/sjytgsjg.htm||安徽·合肥||合肥师范学院就业网||career,2,html,no,安徽·合肥,720,active,V2.1高校就业网补漏,discovered-from-university-homepage,
auto-edu-0bdf27a6fd,淮北师范大学就业网,research,public_notice,regional_notice,https://www.chnu.edu.cn/zsjy||安徽·淮北||淮北师范大学就业网||career,2,html,no,安徽·淮北,720,active,V2.1高校就业网补漏,discovered-from-university-homepage,
auto-edu-d22d28ba5d,安庆师范大学就业网,research,public_notice,regional_notice,https://www.aqnu.edu.cn/jyjx.htm||安徽·安庆||安庆师范大学就业网||career,2,html,no,安徽·安庆,720,active,V2.1高校就业网补漏,discovered-from-university-homepage,
