entity_id,canonical_name,short_name,aliases,level,parent_group,province,city,district,org_type,regulator,website,recruit_url,wechat,source_url,confidence,last_verified
cn-sgcc,国家电网有限公司,国家电网,国家电网|国网,央企集团,,,,,soe,国务院国资委,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,official_seed,2026-09-02
cn-cmcc,中国移动通信集团有限公司,中国移动,中国移动|移动集团,央企集团,,,,,soe,国务院国资委,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,official_seed,2026-09-02
cn-ctcc,中国电信集团有限公司,中国电信,中国电信|电信集团,央企集团,,,,,soe,国务院国资委,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,official_seed,2026-09-02
cn-unicom,中国联合网络通信集团有限公司,中国联通,中国联通|联通集团,央企集团,,,,,soe,国务院国资委,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,official_seed,2026-09-02
cn-ceec,中国能源建设集团有限公司,中国能建,中国能建|能源建设集团,央企集团,,,,,soe,国务院国资委,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,official_seed,2026-09-02
cn-powerchina,中国电力建设集团有限公司,中国电建,中国电建|电力建设集团,央企集团,,,,,soe,国务院国资委,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,official_seed,2026-09-02
cn-cetc,中国电子科技集团有限公司,中国电科,中国电科|中电科,央企集团,,,,,soe,国务院国资委,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,official_seed,2026-09-02
cn-cscec,中国建筑集团有限公司,中国建筑,中国建筑|中建集团,央企集团,,,,,soe,国务院国资委,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,official_seed,2026-09-02
cn-crec,中国中铁股份有限公司,中国中铁,中国中铁,央企集团,,,,,soe,国务院国资委,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,official_seed,2026-09-02
cn-crcc,中国铁建股份有限公司,中国铁建,中国铁建,央企集团,,,,,soe,国务院国资委,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,official_seed,2026-09-02
cn-cccc,中国交通建设集团有限公司,中国交建,中国交建|中交集团,央企集团,,,,,soe,国务院国资委,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,official_seed,2026-09-02
cn-sinopec,中国石油化工集团有限公司,中国石化,中国石化|中石化,央企集团,,,,,soe,国务院国资委,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,official_seed,2026-09-02
cn-petrochina,中国石油天然气集团有限公司,中国石油,中国石油|中石油,央企集团,,,,,soe,国务院国资委,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,official_seed,2026-09-02
cn-cnooc,中国海洋石油集团有限公司,中国海油,中国海油|中海油,央企集团,,,,,soe,国务院国资委,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,official_seed,2026-09-02
cn-chinaenergy,国家能源投资集团有限责任公司,国家能源集团,国家能源|国家能源集团,央企集团,,,,,soe,国务院国资委,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,official_seed,2026-09-02
cn-spic,国家电力投资集团有限公司,国家电投,国家电投|国电投,央企集团,,,,,soe,国务院国资委,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,official_seed,2026-09-02
cn-huaneng,中国华能集团有限公司,中国华能,中国华能|华能集团,央企集团,,,,,soe,国务院国资委,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,official_seed,2026-09-02
cn-datang,中国大唐集团有限公司,中国大唐,中国大唐|大唐集团,央企集团,,,,,soe,国务院国资委,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,official_seed,2026-09-02
cn-chd,中国华电集团有限公司,中国华电,中国华电|华电集团,央企集团,,,,,soe,国务院国资委,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,official_seed,2026-09-02
cn-cosco,中国远洋海运集团有限公司,中国远洋海运,中远海运|中国远洋海运,央企集团,,,,,soe,国务院国资委,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,official_seed,2026-09-02
cn-crc,华润（集团）有限公司,华润集团,华润|华润集团,央企集团,,,,,soe,国务院国资委,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,official_seed,2026-09-02
cn-cmhk,招商局集团有限公司,招商局,招商局|招商局集团,央企集团,,,,,soe,国务院国资委,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,official_seed,2026-09-02
cn-comac,中国商用飞机有限责任公司,中国商飞,中国商飞|商飞,央企集团,,,,,soe,国务院国资委,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,official_seed,2026-09-02
cn-baowu,中国宝武钢铁集团有限公司,中国宝武,中国宝武|宝武集团,央企集团,,,,,soe,国务院国资委,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,official_seed,2026-09-02
cen-sgcc-zj,国网浙江省电力有限公司,国网浙江电力,浙江电力|国网浙江,央企在浙单位,国家电网有限公司,浙江,,,soe,国家电网有限公司,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,curated_seed,2026-09-02
cen-sgcc-js,国网江苏省电力有限公司,国网江苏电力,江苏电力|国网江苏,央企在苏单位,国家电网有限公司,江苏,,,soe,国家电网有限公司,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,curated_seed,2026-09-02
cen-sgcc-sh,国网上海市电力公司,国网上海电力,上海电力|国网上海,央企在沪单位,国家电网有限公司,上海,上海,,soe,国家电网有限公司,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,curated_seed,2026-09-02
cen-sgcc-ah,国网安徽省电力有限公司,国网安徽电力,安徽电力|国网安徽,央企在皖单位,国家电网有限公司,安徽,,,soe,国家电网有限公司,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,curated_seed,2026-09-02
cen-cmcc-zj,中国移动通信集团浙江有限公司,浙江移动,中国移动浙江|浙江移动,央企在浙单位,中国移动通信集团有限公司,浙江,,,soe,中国移动通信集团有限公司,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,curated_seed,2026-09-02
cen-cmcc-js,中国移动通信集团江苏有限公司,江苏移动,中国移动江苏|江苏移动,央企在苏单位,中国移动通信集团有限公司,江苏,,,soe,中国移动通信集团有限公司,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,curated_seed,2026-09-02
cen-cmcc-sh,中国移动通信集团上海有限公司,上海移动,中国移动上海|上海移动,央企在沪单位,中国移动通信集团有限公司,上海,上海,,soe,中国移动通信集团有限公司,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,curated_seed,2026-09-02
cen-cmcc-ah,中国移动通信集团安徽有限公司,安徽移动,中国移动安徽|安徽移动,央企在皖单位,中国移动通信集团有限公司,安徽,,,soe,中国移动通信集团有限公司,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,curated_seed,2026-09-02
cen-ctcc-zj,中国电信股份有限公司浙江分公司,浙江电信,中国电信浙江|浙江电信,央企在浙单位,中国电信集团有限公司,浙江,,,soe,中国电信集团有限公司,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,curated_seed,2026-09-02
cen-ctcc-js,中国电信股份有限公司江苏分公司,江苏电信,中国电信江苏|江苏电信,央企在苏单位,中国电信集团有限公司,江苏,,,soe,中国电信集团有限公司,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,curated_seed,2026-09-02
cen-ctcc-sh,中国电信股份有限公司上海分公司,上海电信,中国电信上海|上海电信,央企在沪单位,中国电信集团有限公司,上海,上海,,soe,中国电信集团有限公司,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,curated_seed,2026-09-02
cen-ctcc-ah,中国电信股份有限公司安徽分公司,安徽电信,中国电信安徽|安徽电信,央企在皖单位,中国电信集团有限公司,安徽,,,soe,中国电信集团有限公司,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,curated_seed,2026-09-02
cen-unicom-zj,中国联合网络通信有限公司浙江省分公司,浙江联通,中国联通浙江|浙江联通,央企在浙单位,中国联合网络通信集团有限公司,浙江,,,soe,中国联合网络通信集团有限公司,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,curated_seed,2026-09-02
cen-unicom-js,中国联合网络通信有限公司江苏省分公司,江苏联通,中国联通江苏|江苏联通,央企在苏单位,中国联合网络通信集团有限公司,江苏,,,soe,中国联合网络通信集团有限公司,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,curated_seed,2026-09-02
cen-unicom-sh,中国联合网络通信有限公司上海市分公司,上海联通,中国联通上海|上海联通,央企在沪单位,中国联合网络通信集团有限公司,上海,上海,,soe,中国联合网络通信集团有限公司,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,curated_seed,2026-09-02
cen-unicom-ah,中国联合网络通信有限公司安徽省分公司,安徽联通,中国联通安徽|安徽联通,央企在皖单位,中国联合网络通信集团有限公司,安徽,,,soe,中国联合网络通信集团有限公司,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,curated_seed,2026-09-02
cen-powerchina-hydro,中国电建集团华东勘测设计研究院有限公司,华东院,中国电建华东院|华东勘测设计研究院,央企在浙单位,中国电力建设集团有限公司,浙江,杭州,,soe,中国电力建设集团有限公司,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,curated_seed,2026-09-02
cen-ceec-zj,中国能源建设集团浙江火电建设有限公司,浙江火电,中国能建浙江火电|浙江火电,央企在浙单位,中国能源建设集团有限公司,浙江,杭州,,soe,中国能源建设集团有限公司,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,curated_seed,2026-09-02
