source_id,company_name,org_type,source_type,adapter,endpoint,priority,fetch_method,requires_login,city_scope,poll_interval_minutes,status,notes
# ===== 国家级核心 =====
gov-sasac,国务院国资委·人事招聘,soe,public_notice,gov_notice,http://www.sasac.gov.cn/n2588035/n2588325/n2588350/index.html,1,html,no,全国,720,active,中央企业权威公告
gov-qyzp,中央企业应届高校毕业生招聘,soe,public_notice,gov_notice,http://www.job.mohrss.gov.cn/qyzp/index.jhtml,1,html,no,全国,720,active,人社部央企应届专栏
gov-ncss,国家大学生就业服务平台24365,public_institution,public_notice,ncss,https://www.ncss.cn/,1,api,no,全国,360,active,教育部官方校招
gov-mohrss,中国公共招聘网,public_institution,public_notice,mohrss,http://job.mohrss.gov.cn/,1,html,no,全国,720,active,人社部公共招聘
cn-iguopin,国聘,aggregator,aggregator,iguopin,https://www.iguopin.com/,2,api,no,全国,720,active,国聘作为补充而非唯一来源

# ===== 省级国资/政府/人社：江浙沪皖 =====
reg-sasac-zj,浙江省国资委,public_institution,official,regional_notice,https://gzw.zj.gov.cn/||浙江||浙江省国资委||government,1,html,no,浙江,360,active,省属国企及国资信息
reg-sasac-js,江苏省国资委,public_institution,official,regional_notice,https://jsgzw.jiangsu.gov.cn/col/col61361/||江苏||江苏省国资委||government,1,html,no,江苏,360,active,通知公告含国企招聘
reg-sasac-sh,上海市国资委·国企招聘,public_institution,official,regional_notice,https://www.gzw.sh.gov.cn/shgzw_xxgk_cqzp/index.html||上海||上海市国资委||government,1,html,no,上海,360,active,市属及区属国企招聘权威栏目
reg-sasac-ah,安徽省国资委·企业招聘,public_institution,official,regional_notice,https://gzw.ah.gov.cn/ssqy/qyzp/index.html||安徽||安徽省国资委||government,1,html,no,安徽,360,active,省属企业招聘栏目
reg-gov-zj,浙江省人民政府,public_institution,official,regional_notice,https://www.zj.gov.cn/||浙江||浙江省人民政府||government,2,html,no,浙江,720,active,政府公开招聘及市县入口
reg-gov-js,江苏省人民政府,public_institution,official,regional_notice,https://www.jiangsu.gov.cn/||江苏||江苏省人民政府||government,2,html,no,江苏,720,active,政府公开招聘及市县入口
reg-gov-sh,上海市人民政府,public_institution,official,regional_notice,https://www.shanghai.gov.cn/||上海||上海市人民政府||government,2,html,no,上海,720,active,区级政府入口及招聘公告
reg-gov-ah,安徽省人民政府,public_institution,official,regional_notice,https://www.ah.gov.cn/||安徽||安徽省人民政府||government,2,html,no,安徽,720,active,政府公开招聘及市县入口
reg-hrss-zj,浙江省人社厅,public_institution,official,regional_notice,https://rlsbt.zj.gov.cn/||浙江||浙江省人社厅||government,1,html,no,浙江,360,active,事业单位/人才招聘
reg-hrss-js,江苏省人社厅,public_institution,official,regional_notice,https://jshrss.jiangsu.gov.cn/||江苏||江苏省人社厅||government,1,html,no,江苏,360,active,事业单位/人才招聘
reg-hrss-sh,上海市人社局,public_institution,official,regional_notice,https://rsj.sh.gov.cn/||上海||上海市人社局||government,1,html,no,上海,360,active,事业单位/公共招聘
reg-hrss-ah,安徽省人社厅,public_institution,official,regional_notice,https://hrss.ah.gov.cn/||安徽||安徽省人社厅||government,1,html,no,安徽,360,active,事业单位/人才招聘

# ===== 高校就业网补漏 =====
edu-zju,浙江大学就业网,research,public_notice,zju,https://www.career.zju.edu.cn/,1,api,no,浙江·杭州,720,active,重点高校校招补漏
edu-hdu,杭州电子科技大学就业网,research,public_notice,regional_notice,https://job.hdu.edu.cn/||浙江·杭州||杭州电子科技大学就业网||career,2,html,no,浙江·杭州,720,active,招聘公告/宣讲/双选
edu-ustc,中国科学技术大学就业网,research,public_notice,regional_notice,https://www.job.ustc.edu.cn/||安徽·合肥||中国科学技术大学就业网||career,1,html,no,安徽·合肥,720,active,央国企/科研院所校招补漏
edu-hfut,合肥工业大学就业网,research,public_notice,regional_notice,https://gdjy.hfut.edu.cn/||安徽·合肥||合肥工业大学就业网||career,1,html,no,安徽·合肥,720,active,工科国央企校招重点
edu-ahu,安徽大学就业网,research,public_notice,regional_notice,http://job.ahu.edu.cn/||安徽·合肥||安徽大学就业网||career,1,html,no,安徽·合肥,720,active,安徽24365高校端补漏
edu-ahpu,安徽工程大学就业网,research,public_notice,regional_notice,https://job.ahpu.edu.cn/||安徽·芜湖||安徽工程大学就业网||career,2,html,no,安徽·芜湖,720,active,制造/央国企招聘补漏
edu-nju,南京大学就业网,research,public_notice,uni_spa,https://job.nju.edu.cn/,1,playwright,no,江苏·南京,720,active,重点高校校招补漏
edu-seu,东南大学就业网,research,public_notice,regional_spa,https://seu.91job.org.cn/||江苏·南京||东南大学就业网||career,1,playwright,no,江苏·南京,720,active,91job平台
edu-fudan,复旦大学就业网,research,public_notice,uni_spa,https://career.fudan.edu.cn/,1,playwright,no,上海,720,active,重点高校校招补漏
edu-sjtu,上海交通大学就业网,research,public_notice,sjtu,https://www.job.sjtu.edu.cn/,1,playwright,no,上海,720,active,重点高校校招补漏
edu-tongji,同济大学就业网,research,public_notice,regional_spa,http://tj91.tongji.edu.cn/||上海||同济大学就业网||career,1,playwright,no,上海,720,active,工程类央国企校招重点
edu-ecust,华东理工大学就业网,research,public_notice,regional_notice,https://career.ecust.edu.cn/||上海||华东理工大学就业网||career,2,html,no,上海,720,active,材料化工央国企补漏
