seed_id,name,root_url,career_url,location,fetch_method
zj-zju,浙江大学,https://www.zju.edu.cn/,https://www.career.zju.edu.cn/,浙江·杭州,html
zj-zjut,浙江工业大学,https://www.zjut.edu.cn/,,浙江·杭州,html
zj-hdu,杭州电子科技大学,https://www.hdu.edu.cn/,https://job.hdu.edu.cn/,浙江·杭州,html
zj-zstu,浙江理工大学,https://www.zstu.edu.cn/,,浙江·杭州,html
zj-nbu,宁波大学,https://www.nbu.edu.cn/,,浙江·宁波,html
zj-zjgsu,浙江工商大学,https://www.zjgsu.edu.cn/,,浙江·杭州,html
zj-cjlu,中国计量大学,https://www.cjlu.edu.cn/,https://jyb.cjlu.edu.cn/campus,浙江·杭州,html
zj-zufe,浙江财经大学,https://www.zufe.edu.cn/,,浙江·杭州,html
zj-zjnu,浙江师范大学,https://www.zjnu.edu.cn/,,浙江·金华,html
zj-hznu,杭州师范大学,https://www.hznu.edu.cn/,,浙江·杭州,html
zj-wzu,温州大学,https://www.wzu.edu.cn/,,浙江·温州,html
zj-zafu,浙江农林大学,https://www.zafu.edu.cn/,,浙江·杭州,html
js-nju,南京大学,https://www.nju.edu.cn/,https://job.nju.edu.cn/,江苏·南京,playwright
js-seu,东南大学,https://www.seu.edu.cn/,https://seu.91job.org.cn/,江苏·南京,playwright
js-nuaa,南京航空航天大学,https://www.nuaa.edu.cn/,,江苏·南京,html
js-njust,南京理工大学,https://www.njust.edu.cn/,,江苏·南京,html
js-hhu,河海大学,https://www.hhu.edu.cn/,,江苏·南京,html
js-suda,苏州大学,https://www.suda.edu.cn/,,江苏·苏州,html
js-njupt,南京邮电大学,https://www.njupt.edu.cn/,,江苏·南京,html
js-njtech,南京工业大学,https://www.njtech.edu.cn/,,江苏·南京,html
js-jiangnan,江南大学,https://www.jiangnan.edu.cn/,,江苏·无锡,html
js-cumt,中国矿业大学,https://www.cumt.edu.cn/,,江苏·徐州,html
js-ujs,江苏大学,https://www.ujs.edu.cn/,,江苏·镇江,html
js-nuist,南京信息工程大学,https://www.nuist.edu.cn/,,江苏·南京,html
js-njnu,南京师范大学,https://www.njnu.edu.cn/,,江苏·南京,html
sh-fudan,复旦大学,https://www.fudan.edu.cn/,https://career.fudan.edu.cn/,上海,playwright
sh-sjtu,上海交通大学,https://www.sjtu.edu.cn/,https://www.job.sjtu.edu.cn/,上海,playwright
sh-tongji,同济大学,https://www.tongji.edu.cn/,http://tj91.tongji.edu.cn/,上海,playwright
sh-ecnu,华东师范大学,https://www.ecnu.edu.cn/,https://career.ecnu.edu.cn/career/index,上海,html
sh-ecust,华东理工大学,https://www.ecust.edu.cn/,https://career.ecust.edu.cn/,上海,html
sh-dhu,东华大学,https://www.dhu.edu.cn/,,上海,html
sh-shu,上海大学,https://www.shu.edu.cn/,https://zbb.shu.edu.cn/,上海,html
sh-usst,上海理工大学,https://www.usst.edu.cn/,,上海,html
sh-sufe,上海财经大学,https://www.sufe.edu.cn/,,上海,html
sh-shmtu,上海海事大学,https://www.shmtu.edu.cn/,,上海,html
sh-shiep,上海电力大学,https://www.shiep.edu.cn/,,上海,html
ah-ustc,中国科学技术大学,https://www.ustc.edu.cn/,https://www.job.ustc.edu.cn/,安徽·合肥,html
ah-hfut,合肥工业大学,https://www.hfut.edu.cn/,https://gdjy.hfut.edu.cn/,安徽·合肥,html
ah-ahu,安徽大学,https://www.ahu.edu.cn/,http://job.ahu.edu.cn/,安徽·合肥,html
ah-ahpu,安徽工程大学,https://www.ahpu.edu.cn/,https://job.ahpu.edu.cn/,安徽·芜湖,html
ah-ahut,安徽工业大学,https://www.ahut.edu.cn/,,安徽·马鞍山,html
ah-aust,安徽理工大学,https://www.aust.edu.cn/,,安徽·淮南,html
ah-ahnu,安徽师范大学,https://www.ahnu.edu.cn/,,安徽·芜湖,html
ah-aufe,安徽财经大学,https://www.aufe.edu.cn/,,安徽·蚌埠,html
ah-ahau,安徽农业大学,https://www.ahau.edu.cn/,,安徽·合肥,html
ah-hfuu,合肥大学,https://www.hfuu.edu.cn/,,安徽·合肥,html
ah-ahjzu,安徽建筑大学,https://www.ahjzu.edu.cn/,,安徽·合肥,html
ah-hfnu,合肥师范学院,https://www.hfnu.edu.cn/,,安徽·合肥,html
ah-chnu,淮北师范大学,https://www.chnu.edu.cn/,,安徽·淮北,html
ah-aqnu,安庆师范大学,https://www.aqnu.edu.cn/,,安徽·安庆,html
