company,aliases,region,priority,official_domain,recruit_url,wechat_name,notes
安徽建工集团股份有限公司,安徽建工|安徽建工集团,安徽,1,,,,
合肥水务集团有限公司,合肥水务|合肥水务投资集团,安徽,1,,,,
安徽省交通控股集团有限公司,安徽交控|安徽交控集团,安徽,1,,,,
安徽叉车集团有限责任公司,安徽叉车|合力集团,安徽,1,,,,
安徽省港航集团有限公司,安徽港航,安徽,1,,,,
安徽省能源集团有限公司,皖能集团|安徽能源,安徽,1,,,,
淮河能源控股集团有限责任公司,淮河能源,安徽,1,,,,
奇瑞控股集团有限公司,奇瑞集团|奇瑞汽车,安徽,1,,,,
安徽江淮汽车集团控股有限公司,江汽集团|江淮汽车,安徽,1,,,,
铜陵有色金属集团控股有限公司,铜陵有色,安徽,1,,,,
安徽海螺集团有限责任公司,海螺集团,安徽,1,,,,
合肥市产业投资控股（集团）有限公司,合肥产投,安徽,1,,,,
合肥兴泰金融控股（集团）有限公司,合肥兴泰,安徽,1,,,,
合肥市轨道交通集团有限公司,合肥轨道|合肥地铁,安徽,1,,,,
浙江省交通投资集团有限公司,浙江交投,浙江,1,,,,
浙江省能源集团有限公司,浙能集团,浙江,1,,,,
物产中大集团股份有限公司,物产中大,浙江,1,,,,
杭州地铁集团有限责任公司,杭州地铁,浙江,1,,,,
杭州市城市建设投资集团有限公司,杭州城投,浙江,1,,,,
杭州胡庆余堂集团有限公司,胡庆余堂,浙江,1,,,,
江苏交通控股有限公司,江苏交控,江苏,1,,,,
江苏省国信集团有限公司,江苏国信,江苏,1,,,,
东部机场集团有限公司,东部机场,江苏,1,,,,
江苏省港口集团有限公司,江苏港口,江苏,1,,,,
江苏省铁路集团有限公司,江苏铁路,江苏,1,,,,
南京地铁集团有限公司,南京地铁,江苏,1,,,,
苏州市轨道交通集团有限公司,苏州轨道,江苏,1,,,,
上海汽车集团股份有限公司,上汽集团,上海,1,,,,
上海电气集团股份有限公司,上海电气,上海,1,,,,
上海建工集团股份有限公司,上海建工,上海,1,,,,
上海城投（集团）有限公司,上海城投,上海,1,,,,
上海申通地铁集团有限公司,申通地铁,上海,1,,,,
上海机场（集团）有限公司,上海机场集团,上海,1,,,,
上海华虹（集团）有限公司,华虹集团,上海,1,,,,
上海数据集团有限公司,上海数据集团,上海,1,,,,
国网浙江省电力有限公司,国网浙江|浙江电力,浙江,1,,,,
国网江苏省电力有限公司,国网江苏|江苏电力,江苏,1,,,,
国网上海市电力公司,国网上海|上海电力,上海,1,,,,
国网安徽省电力有限公司,国网安徽|安徽电力,安徽,1,,,,
中国电建集团华东勘测设计研究院有限公司,中国电建华东院|华东院,浙江,1,,,,
中国电子科技集团公司第三十八研究所,中国电科38所|38所,安徽,1,,,,
中国电子科技集团公司第四十三研究所,中国电科43所|43所,安徽,1,,,,
中国电子科技集团公司第十四研究所,中国电科14所|14所,江苏,1,,,,
中国电子科技集团公司第二十八研究所,中国电科28所|28所,江苏,1,,,,
